com.samsung.health.food_info,6211031,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2022-03-26 15:59:00.454,2022-03-26 15:59:00.454,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,Idp7XEd6un,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,67f61be9-8846-41cc-97c8-be833a579a17,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2022-03-26 15:59:00.454,2022-03-26 15:59:00.454,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,Idp7XEd6un,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,ea8dfcd0-aa31-434f-ae10-69b877dae070,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2022-03-26 15:59:00.454,2022-03-26 15:59:00.454,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,Idp7XEd6un,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,369d0ef5-c620-48d9-9a34-59d0c087bee4,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2022-03-26 15:59:00.455,2022-03-26 15:59:00.455,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,Idp7XEd6un,g,0.005,,com.sec.android.app.shealth,0.09,88.5,5b0e04e2-0d13-4c48-96f7-4a2d47cd0ec7,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2022-03-26 15:59:00.456,2022-03-26 15:59:00.456,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,Idp7XEd6un,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,d3a26571-cea0-4042-a909-9c81c877423b,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2022-03-26 15:59:00.455,2022-03-26 15:59:00.455,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,Idp7XEd6un,g,0.0,,com.sec.android.app.shealth,0.0,,dcec63f2-9350-4d8f-995f-bcc5d8344a03,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2020-10-30 13:13:22.939,2020-10-30 13:13:22.939,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,Idp7XEd6un,g,3.067,,com.sec.android.app.shealth,11.42,2.0,bdc5ef07-83e0-4711-8bd0-8c1efa14c38c,1,
,0.0,0.0,,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2020-10-30 13:13:22.936,2020-10-30 13:13:22.936,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,,0.0,140.0,serving,,Idp7XEd6un,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,077fbb64-5488-4b91-b3e0-4b1747d76ec0,1,
67.0,6.0,0.0,,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2020-10-30 13:13:22.920,2020-10-30 13:13:22.920,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,Idp7XEd6un,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,bc572cd9-70d9-4f44-b7c5-eb8038797056,1,
422.0,2.0,17.0,,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2020-10-30 13:13:22.917,2020-10-30 13:13:22.917,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,Idp7XEd6un,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,2339ee41-db52-43c6-8437-6714b0a6d32f,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2022-03-26 15:59:00.455,2022-03-26 15:59:00.455,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,Idp7XEd6un,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,f01fadf4-7f92-443f-b7d2-3b0dec97d75f,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2022-03-26 15:59:00.455,2022-03-26 15:59:00.455,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,Idp7XEd6un,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,c1cf9db2-3c38-4662-b9e8-2f61b1d8906b,1,
0.0,0.0,0.0,,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2020-10-30 13:13:22.930,2020-10-30 13:13:22.930,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,Idp7XEd6un,g,0.0,,com.sec.android.app.shealth,0.0,,ee1e577f-4a10-4895-9822-5712afbc697c,1,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2020-10-30 13:13:22.918,2020-10-30 13:13:22.918,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,Idp7XEd6un,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,8634b2c4-de6b-43b8-94e5-a05076f5c6c4,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2022-03-26 15:59:00.456,2022-03-26 15:59:00.456,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,Idp7XEd6un,g,3.067,,com.sec.android.app.shealth,11.42,2.0,8238d353-708a-4d3d-89a2-33b1bd59cb92,1,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2020-10-30 13:13:22.921,2020-10-30 13:13:22.921,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,Idp7XEd6un,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,96a7f769-3e59-40b3-a53d-a87b6f45c8c2,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2022-03-26 15:59:00.455,2022-03-26 15:59:00.455,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,Idp7XEd6un,g,1.295,,com.sec.android.app.shealth,9.14,3.7,b7180df6-1e48-4e06-8d6b-e9458a5c9a87,1,
86.0,0.0,0.0,,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2020-10-30 13:13:22.923,2020-10-30 13:13:22.923,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,,0.0,50.0,coffee cup (6 fl oz),,Idp7XEd6un,g,1.295,,com.sec.android.app.shealth,9.14,3.7,d79a6667-05f8-43f0-8d2f-ca38f7b39209,1,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2020-10-30 13:13:22.927,2020-10-30 13:13:22.927,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,Idp7XEd6un,g,0.005,,com.sec.android.app.shealth,0.09,88.5,c4598396-5700-4aac-81c6-9106b6697e22,1,
233.0,0.0,149.0,,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2020-10-30 13:13:22.919,2020-10-30 13:13:22.919,0.065,1.02,0.236,4.0,Strawberries,7.08,,2.0,49.0,"cup, halves",,Idp7XEd6un,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,691c0f21-b43c-4570-80e3-69ab04d2d62b,1,
